"","cutoff_index","FN_ALL"
"1052",98338.93,812
"1053",98335.81,813
"1054",98303.125,814
"1055",98217.84,815
"1056",98050.77,816
"1057",98004.766,817
"1058",97912.664,818
"1059",97887.51,819
"1060",97870.555,819
"1061",97855.81,820
"1062",97822.58,821
"1063",97643.35,822
"1064",97642.305,823
"1065",97611.43,824
"1066",97583.63,825
"1067",97528.805,826
"1068",97491.39,826
"1069",97470.17,826
"1070",97466.26,827
"1071",97369.23,827
"1072",97307.375,828
"1073",97293.234,829
"1074",97242.41,830
"1075",97200.27,830
"1076",97122.1,831
"1077",97110.94,832
"1078",97013.19,833
"1079",96968.58,834
"1080",96915.01,835
"1081",96893.52,835
"1082",96849.69,835
"1083",96813.14,836
"1084",96746.55,837
"1085",96728.39,838
"1086",96684.93,839
"1087",96681.18,839
"1088",96670.445,840
"1089",96644.664,841
"1090",96631.06,842
"1091",96545.82,843
"1092",96501.3,844
"1093",96498.37,844
"1094",96474.55,845
"1095",96465.484,845
"1096",96452.25,846
"1097",96438.875,847
"1098",96428.125,848
"1099",96370.555,849
"1100",96213.22,849
"1101",96132.47,850
"1102",96124.61,851
"1103",96091.34,852
"1104",96085.44,853
"1105",95971.29,853
"1106",95911.94,853
"1107",95796.664,854
"1108",95709.72,855
"1109",95689.29,856
"1110",95688.266,856
"1111",95687.53,856
"1112",95659.86,857
"1113",95627.45,858
"1114",95612.445,858
"1115",95585.82,859
"1116",95325.19,860
"1117",95320.664,861
"1118",95305.98,862
"1119",95239.63,863
"1120",95234.91,863
"1121",95192.21,864
"1122",95191.8,865
"1123",95017.65,866
"1124",95012.805,867
"1125",94992.45,868
"1126",94973.84,869
"1127",94955.36,870
"1128",94912.4,871
"1129",94874.96,872
"1130",94827.375,873
"1131",94789.33,874
"1132",94783.9,875
"1133",94714.36,875
"1134",94566.71,876
"1135",94469.02,877
"1136",94336.375,878
"1137",94275.81,879
"1138",94242.2,880
"1139",94227.695,881
"1140",94205.25,882
"1141",94178.19,883
"1142",94139.586,884
"1143",94130.33,885
"1144",94030.41,886
"1145",94005.56,886
"1146",93914.15,886
"1147",93873.84,887
"1148",93858.72,888
"1149",93845.31,889
"1150",93827.44,890
"1151",93807.28,891
"1152",93799.016,892
"1153",93786.24,893
"1154",93764.27,894
"1155",93678.86,894
"1156",93640.945,895
"1157",93600.234,896
"1158",93557.29,897
"1159",93545.74,898
"1160",93527.8,899
"1161",93525.79,900
"1162",93518.05,901
"1163",93344.6,902
"1164",93342.33,903
"1165",93273.24,904
"1166",93259.18,904
"1167",93249.04,905
"1168",93181.56,906
"1169",93102.14,907
"1170",93065.164,908
"1171",93021.07,908
"1172",93003.39,909
"1173",92950.81,910
"1174",92942.61,911
"1175",92928.36,912
"1176",92878.305,913
"1177",92793.78,914
"1178",92793.63,915
"1179",92720.56,916
"1180",92715.9,917
"1181",92696.47,918
"1182",92552.53,919
"1183",92544.03,920
"1184",92530.734,921
"1185",92467.74,922
"1186",92434.59,923
"1187",92434.08,924
"1188",92423.19,924
"1189",92412.04,925
"1190",92407.414,926
"1191",92405.64,927
"1192",92212.04,928
"1193",92176.85,928
"1194",92081.22,929
"1195",92059.53,930
"1196",91992.695,930
"1197",91991.336,931
"1198",91962.19,932
"1199",91958.58,932
"1200",91928.58,933
"1201",91888.414,934
"1202",91874.3,934
"1203",91862.17,935
"1204",91851.2,936
"1205",91849.95,937
"1206",91799.78,938
"1207",91757.75,939
"1208",91545.02,940
"1209",91544.95,940
"1210",91435.06,941
"1211",91308.125,942
"1212",91269.49,942
"1213",91213.875,943
"1214",91184.07,944
"1215",91180.11,945
"1216",91164.91,946
"1217",91147.52,946
"1218",91120.25,947
"1219",91098.75,948
"1220",91090.3,949
"1221",91048.12,950
"1222",90975.29,951
"1223",90964.71,952
"1224",90893.97,953
"1225",90852.44,954
"1226",90803.95,955
"1227",90788.4,955
"1228",90775.01,956
"1229",90756.01,956
"1230",90702.58,957
"1231",90663.38,958
"1232",90654.44,959
"1233",90632.1,960
"1234",90591.51,961
"1235",90541.45,962
"1236",90504.125,963
"1237",90428.24,963
"1238",90381.91,964
"1239",90343.836,965
"1240",90326.77,966
"1241",90306.41,967
"1242",90245.34,968
"1243",90232.65,968
"1244",90230.734,969
"1245",90207.12,970
"1246",90186.836,971
"1247",90181.4,972
"1248",90163.81,973
"1249",90163.375,974
"1250",90095.336,975
"1251",90051.18,975
"1252",89995.17,976
"1253",89993.984,977
"1254",89964.516,977
"1255",89853.85,978
"1256",89844.336,979
"1257",89830.08,980
"1258",89792.91,980
"1259",89741.26,981
"1260",89736.07,982
"1261",89731.11,983
"1262",89655.57,984
"1263",89590.89,985
"1264",89588.414,986
"1265",89531.875,987
"1266",89476.05,987
"1267",89397.11,987
"1268",89312.86,988
"1269",89295.61,989
"1270",89286.05,990
"1271",89205.086,991
"1272",89182.08,992
"1273",89175.02,992
"1274",89146.89,993
"1275",89090.67,994
"1276",89062.99,995
"1277",89017.19,996
"1278",88999.04,997
"1279",88969.42,998
"1280",88967.17,999
"1281",88912.74,999
"1282",88897.16,999
"1283",88857.43,1000
"1284",88757.766,1001
"1285",88678.35,1002
"1286",88621.055,1003
"1287",88607.97,1004
"1288",88593.234,1005
"1289",88588.23,1005
"1290",88573.84,1006
"1291",88456.9,1007
"1292",88452.16,1008
"1293",88419.39,1008
"1294",88387.02,1009
"1295",88381.03,1010
"1296",88313.98,1011
"1297",88310.24,1012
"1298",88248.75,1013
"1299",88178.51,1014
"1300",88170.03,1015
"1301",88162.945,1016
"1302",88137.05,1017
"1303",88126.16,1018
"1304",88080.555,1019
"1305",88073.72,1020
"1306",87988.59,1021
"1307",87954.3,1022
"1308",87913.58,1023
"1309",87886.16,1024
"1310",87865.39,1025
"1311",87854.72,1026
"1312",87828.94,1027
"1313",87827.89,1028
"1314",87695.47,1029
"1315",87668.414,1030
"1316",87658.32,1031
"1317",87636.56,1032
"1318",87628,1033
"1319",87617.234,1034
"1320",87590.66,1035
"1321",87588.29,1036
"1322",87577.68,1036
"1323",87543.74,1037
"1324",87492.97,1038
"1325",87469.555,1039
"1326",87432.836,1040
"1327",87399.09,1041
"1328",87384.94,1042
"1329",87370.51,1043
"1330",87278.9,1044
"1331",87221.92,1045
"1332",87149.766,1046
"1333",87031.17,1047
"1334",86933.15,1048
"1335",86917,1048
"1336",86758.7,1049
"1337",86756.17,1049
"1338",86686.375,1050
"1339",86638.125,1051
"1340",86611.97,1052
"1341",86594.234,1053
"1342",86585.85,1054
"1343",86578.04,1055
"1344",86568.74,1056
"1345",86536.984,1056
"1346",86518.945,1057
"1347",86436.92,1058
"1348",86390.21,1059
"1349",86380.79,1060
